X,Y
0.0403255,0.131148
0.126362,0.0453783
0.0719636,0.0835292
0.124181,0.0974766
0.205566,0.00109094
0.0361494,0.266472
0.0315025,0.127401
0.00736165,0.0335655
0.0350121,0.000121546
0.133907,0.108226
0.160305,0.145265
0.0936135,0.0611145
0.102532,0.0851239
0.0326779,0.0605311
0.155383,0.0583345
0.101206,0.125991
0.000718863,0.0702055
0.0753113,0.19189
0.00836383,0.091246
0.101512,0.136654
0.0322589,0.0121653
0.01244,0.0720865
0.120018,0.0564188
0.0756014,0.0579154
0.102469,0.00486764
0.125616,0.10144
0.182999,0.00551389
0.0062565,0.116446
0.120716,0.0404756
0.0381229,0.157583
0.0322057,0.0267962
0.215112,0.159273
0.0973953,0.0931636
0.103819,0.0331525
0.0718217,0.026703
0.186251,0.00285544
0.0912023,0.0776278
0.0235112,0.201345
0.115211,0.0977806
0.0138132,0.0722544
0.0853103,0.103274
0.0719873,0.0184651
0.0914365,0.0676633
0.0218217,0.00354477
0.0977104,0.0155418
0.0164557,0.0168775
0.0794083,0.0817439
0.0129855,0.00365291
0.0919956,0.182238
0.0904648,0.162297
0.0312332,0.0732983
0.0780939,0.17194
0.0403555,0.0601198
0.102603,0.159898
0.0231958,0.00548529
0.00797327,0.152766
0.149052,0.0547167
0.125346,0.0536481
0.0680633,0.0818498
0.0139266,0.00275548
0.050399,0.118274
0.000407266,0.0599409
0.224677,0.113781
0.158813,0.0112751
0.00814069,0.00647056
0.0851456,0.0907758
0.0397466,0.15703
0.0255573,0.175656
0.0183032,0.0557724
0.176082,0.0347102
0.0422973,0.0048741
0.023269,0.245994
0.000116458,0.0442636
0.10205,0.000196686
0.148675,0.0637046
0.0972061,0.213829
0.014098,0.0558023
0.0163488,0.0405581
0.0235035,0.00714612
0.0605853,0.124246
0.0317,0.16836
0.100076,0.106169
0.188104,0.0329854
0.0313746,0.0458858
0.040846,0.0793024
0.100231,0.172872
0.0745237,0.024465
0.0615012,0.160805
0.030346,0.109729
0.0482576,0.120781
0.106401,0.0884092
0.0809212,0.00455691
0.0279051,0.0145449
0.146515,0.0664076
0.0819059,0.0350265
0.106271,0.0729255
0.008652,0.0695853
0.0477386,0.105804
0.0810152,0.124463
0.00214907,0.00694475
0.170718,0.0531834
0.147213,0.203881
0.0448596,0.00681894
0.00384638,0.254088
0.0648877,0.0388559
0.0114848,0.0585153
0.00161287,0.0657542
0.00203186,0.0390054
0.0818461,0.128422
0.045425,0.078015
0.0730758,0.0511418
0.121068,0.0545478
0.118149,0.139467
0.00893401,0.120566
0.0553285,0.199707
0.0400409,0.19282
0.0984205,0.153924
0.173687,0.0314009
0.011034,0.0713774
0.0239874,0.0923477
0.11636,0.145569
0.168131,0.10784
0.204956,0.0345064
0.0112976,0.108616
0.0618796,0.130592
0.168275,0.208638
0.145458,0.111922
0.200772,0.1549
0.50915,0.247794
0.483689,0.474252
0.427684,0.443278
0.489373,0.558617
0.515197,0.438885
0.575028,0.39633
0.794824,0.581301
0.518797,0.453753
0.502844,0.408988
0.528819,0.462891
0.463266,0.510859
0.465251,0.633404
0.565482,0.367506
0.440421,0.373073
0.401215,0.688337
0.424749,0.399816
0.630162,0.487431
0.528991,0.585688
0.619966,0.441857
0.474975,0.69538
0.394044,0.540859
0.761262,0.347612
0.459848,0.531644
0.558172,0.581543
0.681186,0.237583
0.482019,0.511684
0.42239,0.549477
0.493873,0.369212
0.429281,0.490934
0.442437,0.431431
0.46636,0.503983
0.474409,0.514497
0.678047,0.677006
0.389953,0.414843
0.496415,0.445563
0.53799,0.502359
0.574945,0.533149
0.309876,0.610294
0.672942,0.612403
0.445648,0.397686
0.442105,0.423658
0.662679,0.559468
0.384489,0.600068
0.48388,0.418057
0.618801,0.524309
0.524987,0.708444
0.505778,0.468379
0.44716,0.397808
0.364726,0.543521
0.294408,0.401923
0.438667,0.557307
0.557004,0.579105
0.478398,0.475564
0.475331,0.486818
0.477417,0.59951
0.544376,0.533599
0.535693,0.404457
0.466709,0.526114
0.702116,0.513479
0.559314,0.393667
0.324732,0.500156
0.409627,0.490695
0.604672,0.529141
0.386089,0.559936
0.42989,0.409075
0.425821,0.476314
0.554692,0.462291
0.597086,0.411523
0.507661,0.481095
0.516892,0.403587
0.57254,0.533178
0.636221,0.531421
0.531003,0.413504
0.352318,0.380384
0.543691,0.471072
0.533967,0.570468
0.568759,0.493793
0.524526,0.463344
0.623853,0.499821
0.385708,0.53795
0.698845,0.553267
0.558586,0.432214
0.471234,0.561841
0.684644,0.498763
0.433451,0.677446
0.537824,0.531968
0.649177,0.555222
0.402562,0.392907
0.522617,0.40917
0.560731,0.454048
0.479536,0.508682
0.519728,0.550011
0.549324,0.510803
0.399726,0.492004
0.50706,0.410824
0.563862,0.583529
0.615538,0.537092
0.521465,0.350953
0.640687,0.678862
0.597224,0.486404
0.539658,0.331533
0.462403,0.44241
0.489695,0.450819
0.444258,0.557226
0.522759,0.53719
0.405616,0.440617
0.568013,0.503305
0.548963,0.473506
0.655188,0.324803
0.74468,0.626833
0.352975,0.322186
0.626468,0.47002
0.443457,0.6597
0.590544,0.5035
0.594434,0.575074
0.375587,0.363108
0.57801,0.573621
0.517813,0.481611
0.311901,0.485342
0.404365,0.500688
0.420632,0.630858
0.556398,0.451212
0.473184,0.587131
0.662644,0.422564
0.495906,0.712534
0.520141,0.406136
0.536991,0.629154
0.645535,0.467778
0.956735,0.975297
0.827341,0.815205
0.941859,0.841439
0.965631,0.906223
0.994711,0.957289
0.906101,0.925687
0.991162,0.955395
0.802489,0.999367
0.973938,0.790783
0.94778,0.935088
0.996649,0.960472
0.990731,0.851516
0.857133,0.981784
0.963745,0.939666
0.988782,0.835799
0.970123,0.992694
0.93233,0.832396
0.88371,0.844543
0.954163,0.999993
0.826343,0.819257
0.951911,0.991274
0.855181,0.963393
0.988558,0.998728
0.868525,0.902953
0.972941,0.720523
0.99491,0.911248
0.850064,0.958315
0.914502,0.693859
0.894507,0.924546
0.914709,0.995077
0.96667,0.816129
0.863707,0.866419
0.984389,0.982191
0.749261,0.983484
0.928981,0.914465
0.97005,0.958615
