date,hora,onibus,linha,lat,lon,vel
10-07-2014,00:00:01,A411410,462.0,-22.874468,-43.242123,0.19
10-07-2014,00:00:01,B101150,323.0,-22.8151,-43.1876,0.0
10-07-2014,00:00:01,B101660,322.0,-22.8152,-43.1874,0.0
10-07-2014,00:00:01,B10202,0,-22.8148,-43.1868,0.0
10-07-2014,00:00:01,B196140,665.0,-22.8107,-43.3431,0.0
10-07-2014,00:00:01,B255520,232.0,-22.9025,-43.2983,0.0
10-07-2014,00:00:01,B27088,SVB9050,-22.8497,-43.3231,0.0
10-07-2014,00:00:01,B285390,326.0,-22.8175,-43.2241,13.0
10-07-2014,00:00:01,B326760,946.0,-22.8161,-43.3947,0.0
10-07-2014,00:00:01,B426040,650.0,-22.8694,-43.3077,23.0
10-07-2014,00:00:01,B42620,0,-22.8764,-43.3295,0.0
10-07-2014,00:00:01,B580290,621.0,-22.84,-43.2828,10.0
10-07-2014,00:00:01,B581780,625.0,-22.8389,-43.2834,47.0
10-07-2014,00:00:01,B75506,0,-22.8317,-43.3232,0.0
10-07-2014,00:00:01,C200140,600.0,-22.95801,-43.345539,0.0
10-07-2014,00:00:01,C200380,601.0,-22.930611,-43.23785,42.0
10-07-2014,00:00:01,C30096,0,-22.879667,-43.35693,0.0
10-07-2014,00:00:01,C30123,0,-22.951141,-43.347839,0.0
10-07-2014,00:00:01,C47670,0,-22.952049,-43.349258,0.0
10-07-2014,00:00:01,C47871,0,-22.951942,-43.349812,0.0
10-07-2014,00:00:01,C47893,0,-22.951559,-43.348801,0.0
10-07-2014,00:00:01,C47960,0,-22.95281,-43.348396,0.0
10-07-2014,00:00:01,C51578,0,-22.87644,-43.368877,0.0
10-07-2014,00:00:01,D870440,885.0,-22.993401,-43.608749,35.0
10-07-2014,00:00:01,D870640,398.0,-22.917931,-43.608059,0.0
10-07-2014,00:00:01,D872840,840.0,-22.9118,-43.688229,44.0
10-07-2014,00:00:01,D87496,SP8500,-22.917101,-43.607738,0.0
10-07-2014,00:00:01,D90046,0,-22.91888,-43.644081,0.0
10-07-2014,00:00:01,D90078,0,-22.91897,-43.64357,0.0
10-07-2014,00:00:01,D900790,881.0,-22.919849,-43.643768,0.0
10-07-2014,00:00:02,A412780,460.0,-22.874138,-43.2416,1.11
10-07-2014,00:00:02,A550030,172.0,-22.906601,-43.261002,0.0
10-07-2014,00:00:02,A550310,436.0,-22.906111,-43.26157,0.0
10-07-2014,00:00:02,A550970,423.0,-22.92243,-43.264069,0.0
10-07-2014,00:00:02,A72039,0,-22.889107,-43.29269,0.0
10-07-2014,00:00:02,B100570,924.0,-22.8152,-43.1876,0.0
10-07-2014,00:00:02,B100690,328.0,-22.8153,-43.1875,0.0
10-07-2014,00:00:02,B115060,778.0,-22.8117,-43.3725,4.44
10-07-2014,00:00:02,B285400,326.0,-22.8793,-43.2404,58.0
10-07-2014,00:00:02,B287340,2344.0,-22.8161,-43.1881,8.0
10-07-2014,00:00:02,B445010,638.0,-22.8644,-43.3593,43.0
10-07-2014,00:00:02,C13073,0,-22.880697,-43.356834,0.0
10-07-2014,00:00:02,C13120,0,-23.001282,-43.365192,0.0
10-07-2014,00:00:02,C13138,0,-22.880817,-43.358131,0.0
10-07-2014,00:00:02,C200820,600.0,-22.920759,-43.225021,0.0
10-07-2014,00:00:02,C30113,0,-22.950436,-43.347923,0.0
10-07-2014,00:00:02,C301300,354.0,-22.951078,-43.348202,0.0
10-07-2014,00:00:02,C30292,0,-22.94989,-43.348129,0.0
10-07-2014,00:00:02,C47514,0,-22.952801,-43.349957,0.0
10-07-2014,00:00:02,C47571,0,-22.945246,-43.344032,0.0
10-07-2014,00:00:02,C476230,862.0,-22.974348,-43.362968,75.0
10-07-2014,00:00:02,C47816,0,-22.952772,-43.348293,0.0
10-07-2014,00:00:02,C51545,0,-22.877569,-43.368145,0.0
10-07-2014,00:00:02,C516370,371.0,-22.876896,-43.368206,0.0
10-07-2014,00:00:02,C825600,363.0,-22.858721,-43.370785,0.0
10-07-2014,00:00:02,D875060,804.0,-22.897449,-43.57555,42.0
10-07-2014,00:00:02,D877380,2336.0,-22.856119,-43.399658,74.0
10-07-2014,00:00:02,D905530,2309.0,-22.91923,-43.644989,0.0
10-07-2014,00:00:03,A290360,535.0,-22.86871,-43.291382,0.0
10-07-2014,00:00:03,A418420,2017.0,-22.870195,-43.249233,0.0
10-07-2014,00:00:03,A550250,464.0,-22.94215,-43.179562,43.0
10-07-2014,00:00:03,B270200,265.0,-22.8172,-43.3022,0.0
10-07-2014,00:00:03,B285750,696.0,-22.8159,-43.188,0.0
10-07-2014,00:00:03,B31032,0,-22.8041,-43.3096,0.0
10-07-2014,00:00:03,B42548,0,-22.8827,-43.3402,47.0
10-07-2014,00:00:03,B425560,456.0,-22.9493,-43.1818,45.0
10-07-2014,00:00:03,B51520,0,-22.8774,-43.3683,0.0
10-07-2014,00:00:03,B51534,0,-22.8768,-43.3684,0.0
10-07-2014,00:00:03,C131090,338.0,-22.899429,-43.393452,56.0
10-07-2014,00:00:03,C13173,0,-22.880703,-43.358521,0.0
10-07-2014,00:00:03,C30048,0,-22.879995,-43.356895,0.0
10-07-2014,00:00:03,C425490,607.0,-22.876181,-43.33918,0.0
10-07-2014,00:00:03,C47632,0,-22.952002,-43.348415,0.0
10-07-2014,00:00:03,C47673,0,-22.952141,-43.34919,0.0
10-07-2014,00:00:03,C47698,0,-22.95199,-43.35009,0.0
10-07-2014,00:00:03,C51557,0,-22.877487,-43.368496,0.0
10-07-2014,00:00:03,C87808,0,-22.86792,-43.29047,0.0
10-07-2014,00:00:03,D58503,0,-22.876158,-43.420185,0.0
10-07-2014,00:00:03,D58579,0,-22.875999,-43.420002,0.0
10-07-2014,00:00:03,D874990,830.0,-22.898359,-43.5658,32.0
10-07-2014,00:00:03,D875240,398.0,-22.86228,-43.44474,20.0
10-07-2014,00:00:03,D875340,804.0,-22.916599,-43.6078,0.0
10-07-2014,00:00:03,D90033,0,-22.919821,-43.646439,0.0
10-07-2014,00:00:03,D90077,0,-22.919491,-43.64418,0.0
10-07-2014,00:00:03,D905180,2308.0,-22.9193,-43.643471,0.0
10-07-2014,00:00:03,D90580,0,-22.919649,-43.643719,0.0
10-07-2014,00:00:04,A551200,464.0,-22.92951,-43.174198,0.0
10-07-2014,00:00:04,A720170,410.0,-22.924585,-43.246223,47.78
10-07-2014,00:00:04,B101400,924.0,-22.8153,-43.1876,0.0
10-07-2014,00:00:04,B105430,680.0,-22.8681,-43.2569,0.0
10-07-2014,00:00:04,B255620,606.0,-22.9019,-43.2076,18.0
10-07-2014,00:00:04,B256060,249.0,-22.9069,-43.178,1.0
10-07-2014,00:00:04,B285510,326.0,-22.8332,-43.242,63.0
10-07-2014,00:00:04,B285630,329.0,-22.8158,-43.1884,0.0
10-07-2014,00:00:04,B285950,663.0,-22.811,-43.2519,0.0
10-07-2014,00:00:04,B445210,638.0,-22.8604,-43.3563,0.0
10-07-2014,00:00:04,B446450,685.0,-22.8606,-43.3562,0.0
10-07-2014,00:00:04,B51528,0,-22.8765,-43.3681,0.0
10-07-2014,00:00:04,B515790,917.0,-22.8762,-43.3686,0.0
10-07-2014,00:00:04,B73108,SR3500,-22.8095,-43.3426,0.0
10-07-2014,00:00:04,B755100,928.0,-22.8479,-43.2593,17.0
10-07-2014,00:00:04,C13017,0,-22.879541,-43.356823,0.0
10-07-2014,00:00:04,C20223,0,-22.901899,-43.275211,0.0
10-07-2014,00:00:04,C210260,308.0,-22.980261,-43.2318,77.0
10-07-2014,00:00:04,C30073,0,-22.880264,-43.357441,0.0
10-07-2014,00:00:04,C30187,0,-22.949961,-43.34782,0.0
10-07-2014,00:00:04,C30501,0,-23.000893,-43.366001,0.0
10-07-2014,00:00:04,C446440,782.0,-22.860991,-43.355499,0.0
10-07-2014,00:00:04,C475860,636.0,-22.938713,-43.345211,48.0
10-07-2014,00:00:04,C47688,0,-22.953314,-43.349636,0.0
10-07-2014,00:00:04,C47747,0,-22.952532,-43.35004,0.0
10-07-2014,00:00:04,C51564,0,-22.877359,-43.368259,0.0
10-07-2014,00:00:04,C826600,363.0,-22.857763,-43.371502,0.0
10-07-2014,00:00:04,D58660,0,-22.876348,-43.419975,0.0
10-07-2014,00:00:04,D872100,771.0,-22.900141,-43.566971,43.0
10-07-2014,00:00:05,A291850,474.0,-22.86805,-43.29097,0.0
10-07-2014,00:00:05,B25575,SV2320,-22.9023,-43.2987,5.0
10-07-2014,00:00:05,B285830,696.0,-22.8157,-43.1878,0.0
10-07-2014,00:00:05,B326050,793.0,-22.8201,-43.3976,29.0
10-07-2014,00:00:05,B446610,676.0,-22.8609,-43.3555,0.0
10-07-2014,00:00:05,B51524,0,-22.8776,-43.3685,0.0
10-07-2014,00:00:05,B73007,SR3500,-22.8318,-43.3285,24.0
10-07-2014,00:00:05,B75513,0,-22.8322,-43.3234,0.0
10-07-2014,00:00:05,B75583,0,-22.8314,-43.3243,0.0
10-07-2014,00:00:05,C13055,0,-22.914944,-43.360672,0.0
10-07-2014,00:00:05,C13079,0,-22.880686,-43.357964,0.0
10-07-2014,00:00:05,C13143,0,-22.880831,-43.358364,0.0
10-07-2014,00:00:05,C30128,0,-22.951284,-43.348286,0.0
10-07-2014,00:00:05,C30185,0,-22.950541,-43.348354,0.0
10-07-2014,00:00:05,C30279,0,-22.95306,-43.348804,0.0
10-07-2014,00:00:05,C30284,0,-22.950409,-43.347965,0.0
10-07-2014,00:00:05,C47692,0,-22.951954,-43.348465,0.0
10-07-2014,00:00:05,C477020,692.0,-22.886801,-43.287674,39.0
10-07-2014,00:00:05,C47733,0,-22.952593,-43.350109,0.0
10-07-2014,00:00:05,C47911,0,-22.952538,-43.348156,0.0
10-07-2014,00:00:05,C51580,0,-22.876753,-43.368778,0.0
10-07-2014,00:00:05,D58742,0,-22.87641,-43.419868,4.44
10-07-2014,00:00:05,D861460,835.0,-22.942436,-43.560791,33.89
10-07-2014,00:00:05,D872010,849.0,-22.91363,-43.626862,31.0
10-07-2014,00:00:05,D873600,841.0,-22.91729,-43.60783,0.0
10-07-2014,00:00:05,D875040,804.0,-22.916109,-43.609341,0.0
10-07-2014,00:00:05,D90131,0,-22.919319,-43.643929,0.0
10-07-2014,00:00:05,D901380,759.0,-22.918871,-43.64397,0.0
10-07-2014,00:00:06,A418180,2017.0,-22.870003,-43.248859,0.19
10-07-2014,00:00:06,A500800,229.0,-22.929441,-43.253693,0.0
10-07-2014,00:00:06,A550130,423.0,-22.982149,-43.19117,15.0
10-07-2014,00:00:06,A551320,464.0,-22.921789,-43.262501,2.0
10-07-2014,00:00:06,B100100,634.0,-22.8327,-43.2426,43.0
10-07-2014,00:00:06,B100640,322.0,-22.8396,-43.2394,0.0
10-07-2014,00:00:06,B195540,665.0,-22.806,-43.3631,0.0
10-07-2014,00:00:06,B285670,324.0,-22.8155,-43.1882,0.0
10-07-2014,00:00:06,B44659,0,-22.8607,-43.3554,0.0
10-07-2014,00:00:06,B516440,624.0,-22.8766,-43.3682,0.0
10-07-2014,00:00:06,B580460,628.0,-22.8373,-43.2859,2.0
10-07-2014,00:00:06,B605230,2295.0,-22.8152,-43.3857,0.0
10-07-2014,00:00:06,C132110,889.0,-22.880514,-43.357094,0.0
10-07-2014,00:00:06,C200040,611.0,-22.932631,-43.35078,15.0
10-07-2014,00:00:06,C21051,0,-22.89529,-43.248871,0.0
10-07-2014,00:00:06,C30044,0,-22.879995,-43.357327,0.0
10-07-2014,00:00:06,C30052,0,-22.879585,-43.35709,0.0
10-07-2014,00:00:06,C30064,0,-22.950178,-43.347935,0.0
10-07-2014,00:00:06,C30234,0,-22.949919,-43.347885,0.0
